,/ang_vel,/position
1310,,-0.013438162575730342
1311,,-0.0136659280431156
1312,,-0.013893693510500862
1313,,-0.014121458977886121
1314,,-0.014349224445271383
1315,,-0.014463107178964011
1316,,-0.014690872646349272
1317,,-0.014918638113734532
1318,,-0.015032520847427162
1319,,-0.01526028631481242
1320,,-0.015488051782197683
1321,,-0.015601934515890313
1322,,-0.01582969998327557
1323,,-0.0159435827169682
1324,,-0.01617134818435346
1325,,-0.016285230918046092
1326,,-0.016512996385431352
1327,,-0.016740761852816612
1328,,-0.016968527320201873
1329,,-0.01719629278758713
1330,,-0.017424058254972393
1331,,-0.01765182372235765
1332,,-0.017993471923435544
1333,,-0.0182212373908208
1334,,-0.01856288559189869
1335,,-0.01879065105928395
1336,,-0.01901841652666921
1337,,-0.019246181994054472
1338,,-0.019473947461439732
1339,,-0.019701712928824992
1340,,-0.019929478396210253
1341,,-0.02027112659728814
1342,,-0.020498892064673403
1343,,-0.020726657532058664
1344,,-0.020954422999443924
1345,,-0.02129607120052181
1346,,-0.02152383666790707
1347,,-0.021751602135292335
1348,,-0.02209325033637022
1349,,-0.022321015803755482
1350,,-0.022548781271140742
1351,,-0.022776546738526006
1352,,-0.023004312205911263
1353,,-0.023232077673296523
1354,,-0.023459843140681783
1355,,-0.02357372587437441
1356,,-0.02368760860806704
1357,,-0.02380149134175967
1358,,-0.024029256809144934
1359,,-0.024029256809144934
1360,,-0.024029256809144934
1361,,-0.024029256809144934
1362,,-0.024029256809144934
1363,,-0.024029256809144934
1364,,-0.024029256809144934
1365,,-0.024029256809144934
1366,,-0.024029256809144934
1367,,-0.024029256809144934
1368,,-0.024029256809144934
1369,,-0.024029256809144934
1370,,-0.024029256809144934
1371,,-0.024029256809144934
1372,,-0.024029256809144934
1373,,-0.024029256809144934
1374,,-0.024029256809144934
1375,,-0.024029256809144934
1376,,-0.024029256809144934
1377,,-0.024029256809144934
1378,,-0.024029256809144934
1379,,-0.024029256809144934
1380,,-0.024029256809144934
1381,,-0.024029256809144934
1382,,-0.024029256809144934
1383,,-0.024029256809144934
1384,,-0.024029256809144934
1385,,-0.024029256809144934
1386,,-0.024029256809144934
1387,,-0.024029256809144934
1388,,-0.024029256809144934
1389,,-0.02380149134175967
1390,,-0.02368760860806704
1391,,-0.023459843140681783
1392,,-0.023232077673296523
1393,,-0.023004312205911263
1394,,-0.022776546738526006
1395,,-0.022321015803755482
1396,,-0.02197936760267759
1397,,-0.021637719401599705
1398,,-0.02118218846682918
1399,,-0.020612774798366033
1400,,-0.020043361129902883
1401,,-0.019473947461439732
1402,,-0.01890453379297658
1403,,-0.0182212373908208
1404,,-0.017537940988665023
1405,,-0.016854644586509242
1406,,-0.0159435827169682
1407,,-0.01526028631481242
1408,,-0.014463107178964011
1409,,-0.0136659280431156
1410,,-0.01309651437465245
1411,,-0.012640983439881933
1412,,-0.01229933523880404
1413,,-0.012071569771418782
1414,,-0.011957687037726152
1415,,-0.011957687037726152
1416,,-0.012185452505111412
1417,,-0.01241321797249667
1418,,-0.012868748907267191
1419,,-0.013324279842037712
1420,,-0.014121458977886121
1421,,-0.015146403581119792
1422,,-0.016285230918046092
1423,,-0.017424058254972393
1424,,-0.01867676832559132
1425,,-0.019929478396210253
1426,,-0.02129607120052181
1427,,-0.022890429472218633
1428,,-0.02459867047760808
1429,,-0.026306911482997533
1430,,-0.028129035222079612
1431,,-0.029951158961161694
1432,,-0.03165939996655114
1433,,-0.033367640971940594
1434,,-0.034961999243637416
1435,,-0.0364424747816416
1436,,-0.03792295031964579
1437,,-0.039289543123957354
1438,,-0.04054225319457628
1439,,-0.04179496326519521
1440,,-0.04293379060212152
1441,,-0.04395873520535518
1442,,-0.0447559143412036
1443,,-0.04555309347705201
1444,,-0.046464155346593046
1445,,-0.04737521721613408
1446,,-0.04817239635198249
1447,,-0.04908345822152354
1448,,-0.04988063735737194
1449,,-0.050677816493220354
1450,,-0.0515888783627614
1451,,-0.0523860574986098
1452,,-0.05318323663445821
1453,,-0.05398041577030663
1454,,-0.0546637121724624
1455,,-0.05546089130831081
1456,,-0.0561441877104666
1457,,-0.056827484112622374
1458,,-0.05739689778108553
1459,,-0.058080194183241306
1460,,-0.058763490585397087
1461,,-0.05933290425386024
1462,,-0.06001620065601601
1463,,-0.06058561432447917
1464,,-0.06115502799294232
1465,,-0.06183832439509809
1466,,-0.06240773806356125
1467,,-0.06309103446571702
1468,,-0.06366044813418018
1469,,-0.06434374453633596
1470,,-0.0649131582047991
1471,,-0.06548257187326226
1472,,-0.06593810280803278
1473,,-0.06650751647649593
1474,,-0.06696304741126645
1475,,-0.06741857834603697
1476,,-0.06787410928080749
1477,,-0.06832964021557801
1478,,-0.06878517115034852
1479,,-0.06935458481881168
1480,,-0.07003788122096746
1481,,-0.0706072948894306
1482,,-0.07117670855789376
1483,,-0.07186000496004953
1484,,-0.07242941862851268
1485,,-0.07299883229697585
1486,,-0.07368212869913161
1487,,-0.07425154236759476
1488,,-0.07493483876975054
1489,,-0.0755042524382137
1490,,-0.07595978337298422
1491,,-0.07641531430775474
1492,,-0.07687084524252526
1493,,-0.07721249344360315
1494,,-0.07755414164468104
1495,,-0.07766802437837367
1496,,-0.0777819071120663
